DEMSUR_ID,AREA_ID,STARTING_TIME,ENDING_TIME,DEMSUR_MULTIPLIER,DEMSUR_REASON
1.0,1.0,10:00:00,13:30:00,1.75,Weather
2.0,2.0,21:00:00,2:00:00,2,Concert
3.0,3.0,STARTING_TIME4,ENDING_TIME4,DEMSUR_MULTIPLIER3,DEMSUR_REASON3
4.0,4.0,STARTING_TIME5,ENDING_TIME5,DEMSUR_MULTIPLIER4,DEMSUR_REASON4
5.0,5.0,STARTING_TIME6,ENDING_TIME6,DEMSUR_MULTIPLIER5,DEMSUR_REASON5
6.0,6.0,STARTING_TIME7,ENDING_TIME7,DEMSUR_MULTIPLIER6,DEMSUR_REASON6
7.0,7.0,STARTING_TIME8,ENDING_TIME8,DEMSUR_MULTIPLIER7,DEMSUR_REASON7
8.0,8.0,STARTING_TIME9,ENDING_TIME9,DEMSUR_MULTIPLIER8,DEMSUR_REASON8
9.0,9.0,STARTING_TIME10,ENDING_TIME10,DEMSUR_MULTIPLIER9,DEMSUR_REASON9
10.0,10.0,STARTING_TIME11,ENDING_TIME11,DEMSUR_MULTIPLIER10,DEMSUR_REASON10
11.0,11.0,STARTING_TIME12,ENDING_TIME12,DEMSUR_MULTIPLIER11,DEMSUR_REASON11
12.0,12.0,STARTING_TIME13,ENDING_TIME13,DEMSUR_MULTIPLIER12,DEMSUR_REASON12
13.0,13.0,STARTING_TIME14,ENDING_TIME14,DEMSUR_MULTIPLIER13,DEMSUR_REASON13
14.0,14.0,STARTING_TIME15,ENDING_TIME15,DEMSUR_MULTIPLIER14,DEMSUR_REASON14
15.0,15.0,STARTING_TIME16,ENDING_TIME16,DEMSUR_MULTIPLIER15,DEMSUR_REASON15
16.0,16.0,STARTING_TIME17,ENDING_TIME17,DEMSUR_MULTIPLIER16,DEMSUR_REASON16
17.0,17.0,STARTING_TIME18,ENDING_TIME18,DEMSUR_MULTIPLIER17,DEMSUR_REASON17
18.0,18.0,STARTING_TIME19,ENDING_TIME19,DEMSUR_MULTIPLIER18,DEMSUR_REASON18
19.0,19.0,STARTING_TIME20,ENDING_TIME20,DEMSUR_MULTIPLIER19,DEMSUR_REASON19
20.0,20.0,STARTING_TIME21,ENDING_TIME21,DEMSUR_MULTIPLIER20,DEMSUR_REASON20
21.0,21.0,STARTING_TIME22,ENDING_TIME22,DEMSUR_MULTIPLIER21,DEMSUR_REASON21
22.0,22.0,STARTING_TIME23,ENDING_TIME23,DEMSUR_MULTIPLIER22,DEMSUR_REASON22
23.0,23.0,STARTING_TIME24,ENDING_TIME24,DEMSUR_MULTIPLIER23,DEMSUR_REASON23
24.0,24.0,STARTING_TIME25,ENDING_TIME25,DEMSUR_MULTIPLIER24,DEMSUR_REASON24
25.0,25.0,STARTING_TIME26,ENDING_TIME26,DEMSUR_MULTIPLIER25,DEMSUR_REASON25
26.0,26.0,STARTING_TIME27,ENDING_TIME27,DEMSUR_MULTIPLIER26,DEMSUR_REASON26
27.0,27.0,STARTING_TIME28,ENDING_TIME28,DEMSUR_MULTIPLIER27,DEMSUR_REASON27
28.0,28.0,STARTING_TIME29,ENDING_TIME29,DEMSUR_MULTIPLIER28,DEMSUR_REASON28
29.0,29.0,STARTING_TIME30,ENDING_TIME30,DEMSUR_MULTIPLIER29,DEMSUR_REASON29
30.0,30.0,STARTING_TIME31,ENDING_TIME31,DEMSUR_MULTIPLIER30,DEMSUR_REASON30
31.0,31.0,STARTING_TIME32,ENDING_TIME32,DEMSUR_MULTIPLIER31,DEMSUR_REASON31
32.0,32.0,STARTING_TIME33,ENDING_TIME33,DEMSUR_MULTIPLIER32,DEMSUR_REASON32
33.0,33.0,STARTING_TIME34,ENDING_TIME34,DEMSUR_MULTIPLIER33,DEMSUR_REASON33
34.0,34.0,STARTING_TIME35,ENDING_TIME35,DEMSUR_MULTIPLIER34,DEMSUR_REASON34
35.0,35.0,STARTING_TIME36,ENDING_TIME36,DEMSUR_MULTIPLIER35,DEMSUR_REASON35
36.0,36.0,STARTING_TIME37,ENDING_TIME37,DEMSUR_MULTIPLIER36,DEMSUR_REASON36
37.0,37.0,STARTING_TIME38,ENDING_TIME38,DEMSUR_MULTIPLIER37,DEMSUR_REASON37
38.0,38.0,STARTING_TIME39,ENDING_TIME39,DEMSUR_MULTIPLIER38,DEMSUR_REASON38
39.0,39.0,STARTING_TIME40,ENDING_TIME40,DEMSUR_MULTIPLIER39,DEMSUR_REASON39
40.0,40.0,STARTING_TIME41,ENDING_TIME41,DEMSUR_MULTIPLIER40,DEMSUR_REASON40
41.0,41.0,STARTING_TIME42,ENDING_TIME42,DEMSUR_MULTIPLIER41,DEMSUR_REASON41
42.0,42.0,STARTING_TIME43,ENDING_TIME43,DEMSUR_MULTIPLIER42,DEMSUR_REASON42
43.0,43.0,STARTING_TIME44,ENDING_TIME44,DEMSUR_MULTIPLIER43,DEMSUR_REASON43
44.0,44.0,STARTING_TIME45,ENDING_TIME45,DEMSUR_MULTIPLIER44,DEMSUR_REASON44
45.0,45.0,STARTING_TIME46,ENDING_TIME46,DEMSUR_MULTIPLIER45,DEMSUR_REASON45
46.0,46.0,STARTING_TIME47,ENDING_TIME47,DEMSUR_MULTIPLIER46,DEMSUR_REASON46
47.0,47.0,STARTING_TIME48,ENDING_TIME48,DEMSUR_MULTIPLIER47,DEMSUR_REASON47
48.0,48.0,STARTING_TIME49,ENDING_TIME49,DEMSUR_MULTIPLIER48,DEMSUR_REASON48
49.0,49.0,STARTING_TIME50,ENDING_TIME50,DEMSUR_MULTIPLIER49,DEMSUR_REASON49
50.0,50.0,STARTING_TIME51,ENDING_TIME51,DEMSUR_MULTIPLIER50,DEMSUR_REASON50
51.0,51.0,STARTING_TIME52,ENDING_TIME52,DEMSUR_MULTIPLIER51,DEMSUR_REASON51
52.0,52.0,STARTING_TIME53,ENDING_TIME53,DEMSUR_MULTIPLIER52,DEMSUR_REASON52
53.0,53.0,STARTING_TIME54,ENDING_TIME54,DEMSUR_MULTIPLIER53,DEMSUR_REASON53
54.0,54.0,STARTING_TIME55,ENDING_TIME55,DEMSUR_MULTIPLIER54,DEMSUR_REASON54
55.0,55.0,STARTING_TIME56,ENDING_TIME56,DEMSUR_MULTIPLIER55,DEMSUR_REASON55
56.0,56.0,STARTING_TIME57,ENDING_TIME57,DEMSUR_MULTIPLIER56,DEMSUR_REASON56
57.0,57.0,STARTING_TIME58,ENDING_TIME58,DEMSUR_MULTIPLIER57,DEMSUR_REASON57
58.0,58.0,STARTING_TIME59,ENDING_TIME59,DEMSUR_MULTIPLIER58,DEMSUR_REASON58
59.0,59.0,STARTING_TIME60,ENDING_TIME60,DEMSUR_MULTIPLIER59,DEMSUR_REASON59
60.0,60.0,STARTING_TIME61,ENDING_TIME61,DEMSUR_MULTIPLIER60,DEMSUR_REASON60
61.0,61.0,STARTING_TIME62,ENDING_TIME62,DEMSUR_MULTIPLIER61,DEMSUR_REASON61
62.0,62.0,STARTING_TIME63,ENDING_TIME63,DEMSUR_MULTIPLIER62,DEMSUR_REASON62
63.0,63.0,STARTING_TIME64,ENDING_TIME64,DEMSUR_MULTIPLIER63,DEMSUR_REASON63
64.0,64.0,STARTING_TIME65,ENDING_TIME65,DEMSUR_MULTIPLIER64,DEMSUR_REASON64
65.0,65.0,STARTING_TIME66,ENDING_TIME66,DEMSUR_MULTIPLIER65,DEMSUR_REASON65
66.0,66.0,STARTING_TIME67,ENDING_TIME67,DEMSUR_MULTIPLIER66,DEMSUR_REASON66
67.0,67.0,STARTING_TIME68,ENDING_TIME68,DEMSUR_MULTIPLIER67,DEMSUR_REASON67
68.0,68.0,STARTING_TIME69,ENDING_TIME69,DEMSUR_MULTIPLIER68,DEMSUR_REASON68
69.0,69.0,STARTING_TIME70,ENDING_TIME70,DEMSUR_MULTIPLIER69,DEMSUR_REASON69
70.0,70.0,STARTING_TIME71,ENDING_TIME71,DEMSUR_MULTIPLIER70,DEMSUR_REASON70
71.0,71.0,STARTING_TIME72,ENDING_TIME72,DEMSUR_MULTIPLIER71,DEMSUR_REASON71
72.0,72.0,STARTING_TIME73,ENDING_TIME73,DEMSUR_MULTIPLIER72,DEMSUR_REASON72
73.0,73.0,STARTING_TIME74,ENDING_TIME74,DEMSUR_MULTIPLIER73,DEMSUR_REASON73
74.0,74.0,STARTING_TIME75,ENDING_TIME75,DEMSUR_MULTIPLIER74,DEMSUR_REASON74
75.0,75.0,STARTING_TIME76,ENDING_TIME76,DEMSUR_MULTIPLIER75,DEMSUR_REASON75
76.0,76.0,STARTING_TIME77,ENDING_TIME77,DEMSUR_MULTIPLIER76,DEMSUR_REASON76
77.0,77.0,STARTING_TIME78,ENDING_TIME78,DEMSUR_MULTIPLIER77,DEMSUR_REASON77
78.0,78.0,STARTING_TIME79,ENDING_TIME79,DEMSUR_MULTIPLIER78,DEMSUR_REASON78
79.0,79.0,STARTING_TIME80,ENDING_TIME80,DEMSUR_MULTIPLIER79,DEMSUR_REASON79
80.0,80.0,STARTING_TIME81,ENDING_TIME81,DEMSUR_MULTIPLIER80,DEMSUR_REASON80
81.0,81.0,STARTING_TIME82,ENDING_TIME82,DEMSUR_MULTIPLIER81,DEMSUR_REASON81
82.0,82.0,STARTING_TIME83,ENDING_TIME83,DEMSUR_MULTIPLIER82,DEMSUR_REASON82
83.0,83.0,STARTING_TIME84,ENDING_TIME84,DEMSUR_MULTIPLIER83,DEMSUR_REASON83
84.0,84.0,STARTING_TIME85,ENDING_TIME85,DEMSUR_MULTIPLIER84,DEMSUR_REASON84
85.0,85.0,STARTING_TIME86,ENDING_TIME86,DEMSUR_MULTIPLIER85,DEMSUR_REASON85
86.0,86.0,STARTING_TIME87,ENDING_TIME87,DEMSUR_MULTIPLIER86,DEMSUR_REASON86
87.0,87.0,STARTING_TIME88,ENDING_TIME88,DEMSUR_MULTIPLIER87,DEMSUR_REASON87
88.0,88.0,STARTING_TIME89,ENDING_TIME89,DEMSUR_MULTIPLIER88,DEMSUR_REASON88
89.0,89.0,STARTING_TIME90,ENDING_TIME90,DEMSUR_MULTIPLIER89,DEMSUR_REASON89
90.0,90.0,STARTING_TIME91,ENDING_TIME91,DEMSUR_MULTIPLIER90,DEMSUR_REASON90
91.0,91.0,STARTING_TIME92,ENDING_TIME92,DEMSUR_MULTIPLIER91,DEMSUR_REASON91
92.0,92.0,STARTING_TIME93,ENDING_TIME93,DEMSUR_MULTIPLIER92,DEMSUR_REASON92
93.0,93.0,STARTING_TIME94,ENDING_TIME94,DEMSUR_MULTIPLIER93,DEMSUR_REASON93
94.0,94.0,STARTING_TIME95,ENDING_TIME95,DEMSUR_MULTIPLIER94,DEMSUR_REASON94
95.0,95.0,STARTING_TIME96,ENDING_TIME96,DEMSUR_MULTIPLIER95,DEMSUR_REASON95
96.0,96.0,STARTING_TIME97,ENDING_TIME97,DEMSUR_MULTIPLIER96,DEMSUR_REASON96
97.0,97.0,STARTING_TIME98,ENDING_TIME98,DEMSUR_MULTIPLIER97,DEMSUR_REASON97
98.0,98.0,STARTING_TIME99,ENDING_TIME99,DEMSUR_MULTIPLIER98,DEMSUR_REASON98
99.0,99.0,STARTING_TIME100,ENDING_TIME100,DEMSUR_MULTIPLIER99,DEMSUR_REASON99
100.0,100.0,STARTING_TIME101,ENDING_TIME101,DEMSUR_MULTIPLIER100,DEMSUR_REASON100
101.0,101.0,STARTING_TIME102,ENDING_TIME102,DEMSUR_MULTIPLIER101,DEMSUR_REASON101
,102.0,,,,
,,,,,
